+----------------------------+--------------------------+-----------------------+---------------------------------------------------------------------------------------------------------+
|url_host_name               |url_host_registered_domain|url_host_private_domain|url_path                                                                                                 |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/742/product-manager-m-w-d                                                                      |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/749/cfd-berechnungsingenieur-versuchstechniker-thermal-management-m-w-d                        |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/750/entwicklungsingenieur-fuer-produktdefinition-und-benchmarking-m-w-d                        |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/751/engineer-fuer-gesamtfahrzeugfunktionen-m-w-d                                               |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/752/integrationsexperte-alternative-mobilitaet-m-w-d                                           |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/753/berechnungsingenieur-versuchstechniker-thermal-management-m-w-d                            |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/754/product-engineer-part-time-25h-f-m-d                                                       |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/755/validation-engineer-gesamtfahrzeug-m-w-d                                                   |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/756/it-systemengineer-m-w-d                                                                    |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/758/mitarbeiter-zoll-m-w-d                                                                     |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/762/testingenieur-batterie-m-w-d                                                               |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/763/junior-sap-spezialist-befristet-auf-1-jahr-mit-option-auf-verlaengerung-m-w-d              |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/768/junior-software-entwickler-m-w-d                                                           |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/769/projekteinkaeufer-m-w-d                                                                    |
